frame_num,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,3.0,[752.2139282226562 1369.3121337890625 1429.306396484375 1984.0484619140625],[974.8357543945312 1753.404052734375 1199.5994873046875 1851.19189453125],0.5669248104095459,NA11NRU,0.22580247643619797
1,3.0,[750.736092831009 1374.2024826604525 1425.7282793961954 1991.558241579834],[975.324462890625 1765.396484375 1203.47021484375 1862.9620361328125],0.5357751250267029,NA11KRU,0.13784135758783453
5,3.0,[734.6443674412562 1397.6586195367736 1430.6789289373623 2030.8299020482823],[944.9208984375 1790.5264892578125 1191.167724609375 1895.4466552734375],0.486272931098938,NA11NRU,0.39252980167211426
7,3.0,[724.5476403040627 1407.5110489774013 1425.3348501484982 2052.7157401657064],[938.2730712890625 1805.97802734375 1185.6669921875 1911.028564453125],0.563228189945221,MA11MRU,0.34965142189567927
8,3.0,[719.3434856794597 1413.5827658817743 1421.787029556011 2058.188676298904],[954.4998779296875 1824.6705322265625 1172.0086669921875 1918.4849853515625],0.5394650101661682,NA11WAU,0.15400676676985905
11,3.0,[698.107457734807 1430.867989385792 1408.5370839855257 2082.0220124111006],[917.34228515625 1840.0242919921875 1168.3883056640625 1944.0260009765625],0.5050684809684753,NA11NRU,0.6182372942744834
12,3.0,[693.6689307600778 1439.9992134373679 1407.0168833561365 2092.135727721744],[925.7426147460938 1853.29833984375 1158.468505859375 1958.682861328125],0.46127235889434814,NA11NRU,0.2010281066328323
13,3.0,[691.5624816331358 1442.536085144487 1406.700967771794 2097.017587190636],[925.9464111328125 1860.3262939453125 1170.8045654296875 1966.883056640625],0.5571581125259399,NA11NRU,0.28255279315589216
14,3.0,[688.037614375731 1449.704767511532 1402.9589854955746 2104.7441681483474],[905.5786743164062 1874.880615234375 1173.8658447265625 1974.226318359375],0.35590654611587524,NA11NRU,0.6335533614346507
15,3.0,[683.2487484101043 1458.2164698753736 1400.7607987137794 2112.387743667117],[928.6359252929688 1881.05419921875 1159.704345703125 1982.8406982421875],0.5846604108810425,NA11NRU,0.5524886978519393
17,3.0,[674.2134281352364 1470.4384543880424 1397.289583112508 2125.7362767612417],[897.8265380859375 1881.2052001953125 1161.661376953125 1993.2679443359375],0.4576639235019684,NA11NRU,0.6383909745528273
18,3.0,[671.2372876066106 1482.4175466759357 1393.9472744445243 2136.6766512250974],[903.7427368164062 1901.384765625 1157.526123046875 2006.748046875],0.5728073120117188,NA11NRU,0.5797572086879437
19,3.0,[669.585419748028 1491.020723231247 1394.0743063483965 2143.5323774550075],[917.968505859375 1911.15673828125 1148.3724365234375 2009.7374267578125],0.6390044093132019,WA11NRU,0.38407682683675404
21,3.0,[660.3424158605803 1506.1707725422332 1388.361514111003 2153.348165310678],[884.35107421875 1924.3564453125 1152.848876953125 2037.995361328125],0.6199501156806946,NA11NRU,0.5923985310485209
22,3.0,[656.0885257855225 1510.2363742576886 1385.6248228231739 2155.1254150889795],[872.032470703125 1923.384521484375 1137.3692626953125 2037.88916015625],0.6461220979690552,NA11NRU,0.4843734823068296
24,3.0,[649.9763091966919 1520.525398382315 1381.8506045485783 2156.1908568401363],[871.8385620117188 1951.1964111328125 1131.603271484375 2066.682373046875],0.6297784447669983,NA11NRU,0.457831926507219
25,3.0,[648.2378853741101 1525.9166878833496 1380.429542525529 2156.2750723863387],[863.300537109375 1962.0970458984375 1134.5994873046875 2074.216796875],0.6193854212760925,NA11NRU,0.44705024145852024
26,3.0,[645.1773205050358 1533.2349670726535 1380.2502867814676 2157.4653668583255],[885.8932495117188 1976.162109375 1132.2506103515625 2081.061767578125],0.6076199412345886,NA11NRU,0.5739309899640767
27,3.0,[643.0805582891389 1540.4679689600584 1381.004220460569 2157.026364027444],[855.1962890625 1977.8658447265625 1129.2432861328125 2092.04345703125],0.6642912030220032,NA11NRU,0.429570730003504
28,3.0,[639.9584453385341 1546.5656515928772 1378.9820110653613 2156.87308443047],[873.2217407226562 1982.525146484375 1116.4901123046875 2092.09423828125],0.6683344841003418,NA11NRU,0.4821427724722263
29,3.0,[635.916615085987 1554.4470779875573 1375.2161298375863 2157.3818892535787],[858.9329223632812 1996.2850341796875 1119.795166015625 2105.770263671875],0.6548259854316711,NA11NRU,0.3326141677711671
30,3.0,[634.7070111081396 1562.7810795329926 1372.536015901608 2158.3867859557668],[885.7263793945312 2018.2880859375 1093.0565185546875 2117.21630859375],0.6685217618942261,NA11NRU,0.34837243793142025
31,3.0,[636.0598369356677 1568.448208027865 1372.5389569889767 2157.4050528304806],[873.2384643554688 2022.1483154296875 1119.32470703125 2125.7470703125],0.6970619559288025,QA11NRU,0.18257002883828483
33,3.0,[622.1021305054783 1584.949079335196 1364.830094785372 2156.1613271406145],[851.9326171875 2040.1622314453125 1122.056396484375 2151.592041015625],0.6496323943138123,WA17NRU,0.17067040126828112
43,6.0,[1133.761207190103 1143.9754750856453 1714.484601326777 1600.1567036052681],[1354.1923828125 1420.5322265625 1513.2813720703125 1506.3333740234375],0.25558584928512573,GX15OCJ,0.3016682783756153
56,6.0,[1093.4063437010327 1190.25913419157 1703.900497855503 1676.907826764249],[1313.1636962890625 1492.3480224609375 1483.23828125 1567.2601318359375],0.3886113464832306,GX15OCJ,0.229589668803087
57,6.0,[1089.771579208259 1195.1037517676548 1703.4034233726875 1681.1450352741201],[1303.0980224609375 1494.547119140625 1477.780517578125 1571.8634033203125],0.38733240962028503,GX15QGJ,0.24655814719169378
58,6.0,[1091.4208311321925 1199.0922429976567 1707.950659108332 1684.7629586228586],[1318.248046875 1498.404052734375 1485.2607421875 1570.48974609375],0.29097792506217957,GX15OCJ,0.3092896241353418
59,6.0,[1088.3692663820236 1204.4819859372692 1709.3918068365977 1690.8330609532936],[1297.361572265625 1498.6197509765625 1469.0889892578125 1579.45458984375],0.41706332564353943,GX15OGJ,0.19715883972394965
62,6.0,[1074.6944751378524 1218.1931176694432 1696.7079803829315 1706.9043655981457],[1303.7098388671875 1511.173828125 1479.432861328125 1598.18701171875],0.32182878255844116,GX15OCJ,0.21890435391622387
63,6.0,[1076.8361558402949 1225.3703817553753 1695.1715242660503 1712.4582272344835],[1302.322021484375 1518.406494140625 1475.33837890625 1601.370849609375],0.33048397302627563,GX15OCJ,0.5065232144153832
64,6.0,[1077.588104839316 1230.3640552413106 1696.3040971592511 1717.0544850901545],[1307.2127685546875 1526.3565673828125 1475.3118896484375 1606.3443603515625],0.2883475422859192,GX15OCJ,0.23267304940410677
67,6.0,[1071.1097374407168 1239.6918063655787 1694.1163973301577 1728.970939725654],[1287.4896240234375 1541.3988037109375 1464.8917236328125 1622.7774658203125],0.2599141597747803,GX15OCJ,0.45598294756055
69,6.0,[1069.1676025946297 1250.8610437602567 1695.056712915916 1744.334910980014],[1280.980224609375 1546.699951171875 1460.7117919921875 1634.0126953125],0.42843490839004517,GX15OCJ,0.2622006758620954
70,6.0,[1064.852131471484 1256.5886471791816 1691.4126891430515 1752.0010310615824],[1275.7159423828125 1553.423583984375 1472.5133056640625 1644.27392578125],0.31484729051589966,GX15OCJ,0.3882439652428839
72,6.0,[1053.9170837677632 1263.3546152950082 1686.884899581333 1762.6433332056906],[1281.516357421875 1575.9605712890625 1469.378173828125 1656.4566650390625],0.4199495017528534,GX15OGJ,0.3334592222690945
73,6.0,[1050.4661611369356 1266.55248033832 1683.7915028299976 1767.2141087080236],[1282.30078125 1573.891845703125 1465.5877685546875 1657.3048095703125],0.4881530702114105,GX15OCJ,0.5304821658634764
74,6.0,[1050.1286361859654 1272.8504164657995 1682.6127034233616 1774.179439027949],[1274.2587890625 1586.02587890625 1476.802734375 1667.548828125],0.45035994052886963,GX15QCJ,0.32660354489639115
76,6.0,[1046.2795781285058 1279.0588170624885 1685.6385989874188 1782.6676884631522],[1260.3277587890625 1595.6986083984375 1446.469482421875 1680.760986328125],0.5334709882736206,GX15OGJ,0.42893066634141924
77,6.0,[1043.3259545648896 1282.2461053832662 1687.0488294036666 1789.9151997549266],[1270.855224609375 1593.8323974609375 1455.7777099609375 1683.1864013671875],0.5961354970932007,GX15OGJ,0.3736679049392386
